data.county_name,extremelylow_avg,low_avg,verylow_avg,CDBG,Year_ID,County_ID
"Aguadilla Municipio, PR",7725.0,20588.88888888889,12885.416666666666,876284,1,1
"Arecibo Municipio, PR",7980.555555555556,21234.722222222223,13273.611111111111,1342974,1,2
"Bayamón Municipio, PR",9718.75,25902.777777777777,16203.472222222223,2149057,1,3
"Cabo Rojo Municipio, PR",7556.944444444444,20111.805555555555,12576.388888888889,840426,1,4
"Caguas Municipio, PR",9236.805555555555,24593.055555555555,15386.111111111111,1706443,1,5
"Canóvanas Municipio, PR",9718.75,25902.777777777777,16203.472222222223,707339,1,6
"Carolina Municipio, PR",9718.75,25902.777777777777,16203.472222222223,1757420,1,7
"Cayey Municipio, PR",9236.805555555555,24593.055555555555,15386.111111111111,603629,1,8
"Cidra Municipio, PR",9236.805555555555,24593.055555555555,15386.111111111111,575730,1,9
"Fajardo Municipio, PR",9065.972222222223,24131.25,15086.805555555555,489153,1,10
"Guayama Municipio, PR",7820.833333333333,20830.555555555555,13022.222222222223,636562,1,11
"Guaynabo Municipio, PR",9718.75,25902.777777777777,16203.472222222223,842247,1,12
"Humacao Municipio, PR",9718.75,25902.777777777777,16203.472222222223,805703,1,13
"Isabela Municipio, PR",7725.0,20588.88888888889,12885.416666666666,738265,1,14
"Juana Díaz Municipio, PR",8104.166666666667,21590.972222222223,13500.0,720411,1,15
"Manatí Municipio, PR",9718.75,25902.777777777777,16203.472222222223,692099,1,16
"Mayagüez Municipio, PR",8756.944444444445,23304.166666666668,14569.444444444445,1399737,1,17
"Ponce Municipio, PR",8104.166666666667,21590.972222222223,13500.0,2351583,1,18
"Río Grande Municipio, PR",9718.75,25902.777777777777,16203.472222222223,695363,1,19
"San Germán Municipio, PR",7556.944444444444,20111.805555555555,12576.388888888889,535073,1,20
"San Juan Municipio, PR",9718.75,25902.777777777777,16203.472222222223,6969795,1,21
"San Sebastián Municipio, PR",7725.0,20588.88888888889,12885.416666666666,630781,1,22
"Toa Alta Municipio, PR",9718.75,25902.777777777777,16203.472222222223,781162,1,23
"Toa Baja Municipio, PR",9718.75,25902.777777777777,16203.472222222223,1034426,1,24
"Trujillo Alto Municipio, PR",9718.75,25902.777777777777,16203.472222222223,774442,1,25
"Vega Baja Municipio, PR",9718.75,25902.777777777777,16203.472222222223,826620,1,26
"Aguadilla Municipio, PR",7764.84375,20700.0,12957.03125,876284,2,1
"Arecibo Municipio, PR",7995.3125,21272.65625,13296.875,1342974,2,2
"Bayamón Municipio, PR",9746.09375,25972.65625,16246.09375,2149057,2,3
"Cabo Rojo Municipio, PR",7575.78125,20163.28125,12609.375,840426,2,4
"Caguas Municipio, PR",9304.6875,24784.375,15507.8125,1706443,2,5
"Canóvanas Municipio, PR",9746.09375,25972.65625,16246.09375,707339,2,6
"Carolina Municipio, PR",9746.09375,25972.65625,16246.09375,1757420,2,7
"Cayey Municipio, PR",9304.6875,24784.375,15507.8125,603629,2,8
"Cidra Municipio, PR",9304.6875,24784.375,15507.8125,575730,2,9
"Fajardo Municipio, PR",9067.96875,24139.0625,15092.96875,489153,2,10
"Guayama Municipio, PR",7765.625,20671.875,12922.65625,636562,2,11
"Guaynabo Municipio, PR",9746.09375,25972.65625,16246.09375,842247,2,12
"Humacao Municipio, PR",9746.09375,25972.65625,16246.09375,805703,2,13
"Isabela Municipio, PR",7764.84375,20700.0,12957.03125,738265,2,14
"Juana Díaz Municipio, PR",8121.875,21628.90625,13525.0,720411,2,15
"Manatí Municipio, PR",9746.09375,25972.65625,16246.09375,692099,2,16
"Mayagüez Municipio, PR",8714.84375,23190.625,14498.4375,1399737,2,17
"Ponce Municipio, PR",8121.875,21628.90625,13525.0,2351583,2,18
"Río Grande Municipio, PR",9746.09375,25972.65625,16246.09375,695363,2,19
"San Germán Municipio, PR",7575.78125,20163.28125,12609.375,535073,2,20
"San Juan Municipio, PR",9746.09375,25972.65625,16246.09375,6969795,2,21
"San Sebastián Municipio, PR",7764.84375,20700.0,12957.03125,630781,2,22
"Toa Alta Municipio, PR",9746.09375,25972.65625,16246.09375,781162,2,23
"Toa Baja Municipio, PR",9746.09375,25972.65625,16246.09375,1034426,2,24
"Trujillo Alto Municipio, PR",9746.09375,25972.65625,16246.09375,774442,2,25
"Vega Baja Municipio, PR",9746.09375,25972.65625,16246.09375,826620,2,26
